duration,side,participation,peak_observed,peak_causal,shortfall,completion,peak_causal_std
300.0,BUY,0.02,-5.574155215659979e-05,1.9049495210106096e-06,-0.00011667991718030822,1.0,7.109578396337747e-07
300.0,BUY,0.05,-5.510625235470767e-05,2.857924196982973e-06,-0.00011665992920189142,1.0,2.07177287014254e-06
300.0,BUY,0.1,-5.4788577480627416e-05,4.445198843728529e-06,-0.00011656159546125943,1.0,2.07256870503679e-06
300.0,BUY,0.2,-5.3201302833789486e-05,5.715609903530241e-06,-0.00011629243419583078,1.0,3.295498891531279e-06
300.0,SELL,0.001,5.764650167747185e-05,1.5872746469303515e-06,0.00011863038501492434,1.0,1.0175162404772917e-09
300.0,SELL,0.0025,5.764650167747185e-05,1.5872746469303515e-06,0.00011863038501471636,1.0,1.0175162404772917e-09
300.0,SELL,0.005,5.764650167747185e-05,1.5872746469303515e-06,0.00011863038501471636,1.0,1.0175162404772917e-09
300.0,SELL,0.01,5.764650167747185e-05,2.2225744487993503e-06,0.00011865660313206603,1.0,8.708101532800034e-07
300.0,SELL,0.02,5.828161293528907e-05,2.222574448822464e-06,0.00011869969614330654,1.0,8.708101533116618e-07
300.0,SELL,0.05,5.955145119843624e-05,2.540249322902715e-06,0.00011879628563928339,1.0,1.4215097418502245e-06
300.0,SELL,0.1,5.955145119843624e-05,4.445198843820876e-06,0.0001189531471191984,1.0,2.0725687049659355e-06
300.0,SELL,0.2,6.145640071926204e-05,6.35065164808503e-06,0.00011919544462534454,1.0,3.7270151014138803e-06
600.0,BUY,0.001,0.00024274603941333412,1.5866391833908321e-06,5.794461653153104e-05,1.0,6.402199997511956e-10
600.0,BUY,0.0025,0.00024306320999795488,1.5866391833908321e-06,5.794461653162355e-05,1.0,6.402199997511956e-10
600.0,BUY,0.005,0.0002433807048366979,1.5866391833908321e-06,5.794990679374821e-05,1.0,6.402199997511956e-10
600.0,BUY,0.01,0.00024433267859663265,1.9040549114711537e-06,5.794990679374821e-05,1.0,7.10009055326978e-07
600.0,BUY,0.02,0.00024433267859663265,2.5386129433024494e-06,5.796527315706642e-05,1.0,8.690072944653255e-07
600.0,BUY,0.05,0.0002446499422609527,3.490542031055542e-06,5.803889181275478e-05,1.0,7.09065451479059e-07
600.0,BUY,0.1,0.0002462365814442511,5.077181214192342e-06,5.818923724229142e-05,1.0,7.088874168757734e-07
600.0,BUY,0.2,0.0002478232206275957,6.981084062018675e-06,5.8506515635951924e-05,1.0,1.4181309030094942e-06
600.0,SELL,0.001,-0.00024242877574901406,1.5866391833908321e-06,-5.622048177289056e-05,1.0,6.402199997511956e-10
600.0,SELL,0.0025,-0.00024242877574901406,1.5866391833908321e-06,-5.622048177312156e-05,1.0,6.402199997511956e-10
600.0,SELL,0.005,-0.00024242877574901406,1.5866391833908321e-06,-5.622048177312156e-05,1.0,6.402199997511956e-10
600.0,SELL,0.01,-0.00024179406565344555,1.5866391833908321e-06,-5.622048177312156e-05,1.0,6.402199997511956e-10
600.0,SELL,0.02,-0.00024115930715033637,1.903902847757033e-06,-5.622048177312156e-05,1.0,7.092440195246146e-07
600.0,SELL,0.05,-0.00024084213656566943,3.4905420310555285e-06,-5.6187217359719785e-05,1.0,7.090654513498827e-07
600.0,SELL,0.1,-0.00023957266796699174,5.394120624574889e-06,-5.606714150926818e-05,1.0,1.807486623250773e-06
600.0,SELL,0.2,-0.00023798602878373942,7.615518311005652e-06,-5.581787418310224e-05,1.0,2.0669482208868156e-06
